"File","Line","URL"
"ISM-1692.md","32","https://learn.microsoft.com/en-us/compliance/anz/e8-patch-app"
"ISM-1696.md","53","https://learn.microsoft.com/en-us/compliance/anz/e8-patch-os"
"ISM-1692.md","87","https://learn.microsoft.com/en-us/compliance/assurance/assurance-microsoft-365-vulnerability-scanning-and-remediation"
"ISM-1699.md","71","https://learn.microsoft.com/en-us/compliance/assurance/assurance-vulnerability-management"
"ISM-1670.md","71","https://learn.microsoft.com/en-us/defender-endpoint/exploit-protection-reference"
"ISM-1672.md","80","https://learn.microsoft.com/en-us/defender-endpoint/malware/macro-malware"
"ISM-1900.md","56","https://learn.microsoft.com/en-us/defender-endpoint/network-devices"
"ISM-1485.md","67","https://learn.microsoft.com/en-us/defender-endpoint/onboarding-endpoint-manager"
"ISM-1659.md","74","https://learn.microsoft.com/en-us/defender-endpoint/tamper-resiliency"
"ISM-1900.md","54","https://learn.microsoft.com/en-us/defender-vulnerability-management/defender-vulnerability-management"
"ISM-1900.md","52","https://learn.microsoft.com/en-us/defender-vulnerability-management/tvm-hardware-and-firmware"
"ISM-1702.md","63","https://learn.microsoft.com/en-us/defender-vulnerability-management/tvm-weaknesses"
"ISM-1654.md","73","https://learn.microsoft.com/en-us/deployedge/edge-ie-disable-ie11"
"ISM-1654.md","76","https://learn.microsoft.com/en-us/deployedge/edge-learnmore-neededge"
"ISM-1585.md","72","https://learn.microsoft.com/en-us/deployedge/microsoft-edge-enterprise-privacy-settings"
"ISM-1412.md","68","https://learn.microsoft.com/en-us/deployedge/microsoft-edge-security-browse-safer"
"ISM-1810.md","74","https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/database/database-point-in-time-restore"
"ISM-1173.md","84","https://learn.microsoft.com/en-us/entra/architecture/governance-deployment-privileged-identities"
"ISM-1380.md","105","https://learn.microsoft.com/en-us/entra/architecture/secure-best-practices"
"ISM-1683.md","76","https://learn.microsoft.com/en-us/entra/architecture/security-operations-privileged-accounts"
"ISM-1504.md","77","https://learn.microsoft.com/en-us/entra/fundamentals/security-defaults"
"ISM-1173.md","87","https://learn.microsoft.com/en-us/entra/id-governance/privileged-identity-management/pim-configure"
"ISM-0974.md","86","https://learn.microsoft.com/en-us/entra/identity/authentication/concept-certificate-based-authentication-technical-deep-dive"
"ISM-1504.md","75","https://learn.microsoft.com/en-us/entra/identity/authentication/concept-system-preferred-multifactor-authentication"
"ISM-1872.md","31","https://learn.microsoft.com/en-us/entra/identity/authentication/how-to-deploy-phishing-resistant-passwordless-authentication"
"ISM-0974.md","85","https://learn.microsoft.com/en-us/entra/identity/authentication/how-to-plan-prerequisites-phishing-resistant-passwordless-authentication"
"ISM-1683.md","77","https://learn.microsoft.com/en-us/entra/identity/authentication/howto-mfa-getstarted"
"ISM-1683.md","69","https://learn.microsoft.com/en-us/entra/identity/authentication/howto-mfa-reporting"
"ISM-1872.md","33","https://learn.microsoft.com/en-us/entra/identity/conditional-access/policy-admin-phish-resistant-mfa"
"ISM-1504.md","74","https://learn.microsoft.com/en-us/entra/identity/conditional-access/policy-alt-all-users-compliant-hybrid-or-mfa"
"ISM-1683.md","29","https://learn.microsoft.com/en-us/entra/identity/monitoring-health/howto-access-activity-logs"
"ISM-1685.md","50","https://learn.microsoft.com/en-us/entra/identity/role-based-access-control/security-emergency-access"
"ISM-1173.md","86","https://learn.microsoft.com/en-us/entra/identity/role-based-access-control/security-planning"
"ISM-1872.md","87","https://learn.microsoft.com/en-us/entra/standards/memo-22-09-multi-factor-authentication"
"ISM-0974.md","88","https://learn.microsoft.com/en-us/entra/standards/pci-requirement-8"
"ISM-1693.md","75","https://learn.microsoft.com/en-us/graph/windowsupdates-concept-overview"
"ISM-1902.md","76","https://learn.microsoft.com/en-us/graph/windowsupdates-hotpatch-update"
"ISM-1585.md","75","https://learn.microsoft.com/en-us/intune-education/all-edu-settings-windows"
"ISM-1485.md","69","https://learn.microsoft.com/en-us/intune-education/edu-express-config-settings-windows"
"ISM-1668.md","74","https://learn.microsoft.com/en-us/intune/configmgr/protect/deploy-use/create-deploy-exploit-guard-policy"
"ISM-1693.md","77","https://learn.microsoft.com/en-us/intune/configmgr/sum/deploy-use/third-party-software-update-catalogs"
"ISM-1693.md","76","https://learn.microsoft.com/en-us/intune/configmgr/sum/deploy-use/third-party-software-updates"
"ISM-1621.md","71","https://learn.microsoft.com/en-us/intune/intune-service/apps/intune-management-extension"
"ISM-1412.md","43","https://learn.microsoft.com/en-us/intune/intune-service/apps/mamedge-overview"
"ISM-1412.md","28","https://learn.microsoft.com/en-us/intune/intune-service/apps/manage-microsoft-edge"
"ISM-1859.md","98","https://learn.microsoft.com/en-us/intune/intune-service/apps/manage-microsoft-office"
"ISM-1621.md","70","https://learn.microsoft.com/en-us/intune/intune-service/apps/powershell-scripts"
"ISM-0843.md","35","https://learn.microsoft.com/en-us/intune/intune-service/configuration/custom-profile-hololens"
"ISM-1585.md","73","https://learn.microsoft.com/en-us/intune/intune-service/configuration/device-restrictions-windows-10"
"ISM-1823.md","47","https://learn.microsoft.com/en-us/intune/intune-service/configuration/settings-catalog"
"ISM-1859.md","56","https://learn.microsoft.com/en-us/intune/intune-service/fundamentals/deployment-plan-protect-apps"
"ISM-1897.md","100","https://learn.microsoft.com/en-us/intune/intune-service/protect/endpoint-protection-windows-10"
"ISM-1897.md","99","https://learn.microsoft.com/en-us/intune/intune-service/protect/endpoint-security-account-protection-profile-settings"
"ISM-1668.md","52","https://learn.microsoft.com/en-us/intune/intune-service/protect/endpoint-security-asr-profile-settings"
"ISM-1669.md","68","https://learn.microsoft.com/en-us/intune/intune-service/protect/security-baseline-settings-defender"
"ISM-1486.md","45","https://learn.microsoft.com/en-us/intune/intune-service/protect/security-baseline-settings-mdm-all"
"ISM-1667.md","68","https://learn.microsoft.com/en-us/intune/intune-service/protect/security-baseline-settings-windows-365"
"ISM-1823.md","89","https://learn.microsoft.com/en-us/intune/intune-service/protect/security-baseline-v2-office-settings"
"ISM-1685.md","73","https://learn.microsoft.com/en-us/intune/intune-service/protect/windows-laps-policy#create-a-laps-policy"
"ISM-1690.md","96","https://learn.microsoft.com/en-us/intune/intune-service/protect/zero-trust-secure-devices"
"ISM-1704.md","116","https://learn.microsoft.com/en-us/intune/intune-service/remote-actions/device-retire"
"ISM-1704.md","105","https://learn.microsoft.com/en-us/intune/intune-service/remote-actions/remove-apps-config"
"ISM-1654.md","74","https://learn.microsoft.com/en-us/lifecycle/faq/internet-explorer-microsoft-edge"
"ISM-1696.md","86","https://learn.microsoft.com/en-us/lifecycle/faq/windows"
